index,vendor,company_name,company_number,known_address,status,urls_count,scrape_count,error,ext_company_name,ext_company_number,ext_incorporation_date,ext_address,ext_postal_code,ext_city,ext_country,ext_about,ext_services,ext_industry,ext_sic_codes,ext_directors,ext_other_info,ext_confidence,ext_match_reasoning,ext_trading_name,ext_phone,ext_email,ext_website,ext_products,ext_employees,ext_turnover,ext_key_contacts,ext_linkedin,ext_certifications,ext_partners,ext_clients,ext_fax,ext_-_company_status,ext_-_company_type,ext_-_accounts_category,ext_-_financial_year_end,ext_-_latest_annual_accounts,ext_-_next_annual_accounts_due,ext_-_latest_confirmation_statement,ext_-_next_confirmation_statement_due,ext_-_company_size,ext_-_persons_with_significant_control_(psc),ext_vat_number,ext_twitter,ext_facebook,ext_other_social,ext_-_next_accounts_made_up_to,ext_-_next_accounts_due_by,ext_-_last_accounts_made_up_to,ext_-_next_confirmation_statement_date,ext_-_next_confirmation_statement_due_by,ext_-_last_confirmation_statement_dated,ext_-_director_nadine_charles's_nationality,ext_-_director_nadine_charles's_country_of_residence,ext_-_director_nadine_charles's_date_of_birth,ext_-_initial_registered_office_address_(before_change_on_26_october_2020),ext_-_age,ext_-_previous_registered_address,ext_-_cash_in_bank,ext_-_net_worth,ext_-_total_assets,ext_-_total_liabilities,ext_-_debt_ratio,ext_-_previous_company_name,ext_-_previous_registered_office_address,ext_-_person_with_significant_control_(psc),ext_-_size,ext_-_jurisdiction_authority,ext_-_vat_issuing_authority,ext_-_vat_status,ext_-_vat_number_issued,ext_-_previous_company_names,ext_-_end_of_financial_year,ext_-_financials_(as_of_31_dec_2024),ext_-_mutual_companies_(through_shared_directors),ext_-_financials_(as_of_31_dec_2023),ext_awards,ext_-_incorporated_in,ext_-_next_confirmation_statement_due_date_(as_of_2017)
10,Compass Contract Services UK Ltd.,COMPASS CONTRACT SERVICES (U.K.) LIMITED,02114954,"Parklands Court, 24 Parklands, Birmingham Great Park, Rubery, Birmingham, B45 9PZ",success,10,8,,COMPASS CONTRACT SERVICES (U.K.) LIMITED,02114954,25 March 1987,"Parklands Court, 24 Parklands, Birmingham Great Park, Rubery, Birmingham, West Midlands, B45 9PZ",B45 9PZ,Birmingham,United Kingdom,"Provides expert catering, cleaning, vending, and facilities management services to a range of clients and sectors across England, Scotland, Wales and Ireland. Specializes in event catering activities.","Catering, Cleaning, Vending, Facilities Management, Total Facilities Management, Soft Facilities Management (with per annum contract value over £1m to £7m, and up to £1m), Healthcare Soft FM (Patient Catering, Retail Catering & Hospitality Services). Associated brands/services include Rocket (luxury caterer), Keith Prowse (sports and events hospitality), Kents Hill Park (training and conference centre), Royal Armouries (conference, events).","Facilities Management, Catering, Vending, Healthcare Services, Event Catering.",56210 - Event catering activities,"Karl James Atkins, Jodi Lea, Robin Ronald Mills, Gareth Jonathan Sharpe. (Total 13 directors mentioned by CompanyCheck, 15 by Endole).","DUNS number: 392303327. Company status: Active, Private limited Company, Private limited with Share Capital. Previous company name: CENTRALBOSS LIMITED (25 Mar 1987 - 06 Jan 1988). Part of Compass Group. Mutual companies (part of the same group): Compass Group, UK And Ireland Limited; Compass Services Limited; Compass Services (U.K.) Limited; PPP Infrastructure Management Limited; Chartwells Hounslow (Feeding Futures) Limited; V H Graddon & Sons Vending Limited; Vending Enterprises Limited; Cygnet Foods Limited. Carbon Reduction Plan available. Future director appointments: David James Turner (20 Oct 2025), Sophie Caroline Oona Smith (25 Mar 2025), Miss Michelle Mary Sanders (31 Mar 2025). Past director terminations: Chris Chidley (31 Aug 2024), Carol Yvonne Sommerville (1 Aug 2024).",high,"The registered company name, company number, and known address are consistently matched across all official sources (Companies House, Crown Commercial Service, Endole, CompanyCheck). Business activities, financial data, and key personnel are also well-supported by multiple sources.",Compass Contract Services UK Ltd,"+441214575000, 01727 897541","business.development@compass-group.co.uk, healthcaresales@compass-group.co.uk",https://www.compass-group.co.uk/,,Over 250 employees,Over £54M,"Bethan Benfield (Email: business.development@compass-group.co.uk), Mr. Richard Moran (Email: healthcaresales@compass-group.co.uk), Hannah Hart (Associate Business Development Manager, Email: Business.development@compass-group.co.uk, Phone: 07826 663305)","https://www.linkedin.com/company/crown-commercial-service (This is for CCS, not the target company. No direct LinkedIn for target found.)",,"Crown Commercial Service (CCS), Procurement Services","Government (via CCS), Blue Light, Central Government, Charity, Education, Local Government, Healthcare, Housing, Government Agencies, Voluntary",,,,,,,,,,,,,"https://twitter.com/gov_procurement (This is for CCS, not the target company. No direct Twitter for target found.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Domino UK Ltd.,DOMINO UK LIMITED,01750201,"Domino Uk Trafalgar Way, Bar Hill, Cambridge, CB23 8TU",success,9,7,,DOMINO UK LIMITED,01750201,5 September 1983,"Domino Uk Trafalgar Way, Bar Hill, Cambridge, England, CB23 8TU",CB23 8TU,Cambridge,England,"The UK division of Domino Printing Sciences, a global expert in industrial printers. Specialises in digital printing and traceability solutions (industrial coders) for sectors like food, beverage, life sciences, packaging, cleaning, personal care, building and construction. Their technology prints onto products such as cans, household goods, eggs, ready meals, cartons, glass, cases, pallets, PET, trays, film, and labels.","Training Services, Support & Maintenance, OEM Services, Domino Finance, Smart Production, 2D Codes, Automation, Domino Cloud remote monitoring, SafeGuard aftermarket extended warranty contracts, SafeSupply bundled consumable agreements (inks, fluids, ribbons, printheads, labels), Relax flexible finance options (operational leases), training academy.","Industrial Printing, Coding and Marking, Digital Printing, Traceability Solutions. Sectors: Beverage, Food, Life Sciences, Tobacco, Industrial, Personal Care, Labels, Corrugated Converters, Security, Packaging, Cleaning, Building and Construction.",27900 - Manufacture of other electrical equipment,"Joseph Graham Harrison, Robert William Pulford, Rachel Hurst","Company status: Active. Company type: Private limited Company. Size: Large. Net Assets: £110.72M. Total Assets: £225.96M. Total Liabilities: -£115.24M. Debt Ratio: 51%. Offers ""BuyDomino"" online ordering system for Consumables and Spares. ""MyDomino"" for product manuals and datasheets. ""Safety Data Sheets"" for inks and ribbons.",high,"The registered company name, company number, and known address provided in the target match exactly with information found on Companies House and Endole. The official website clearly identifies ""Domino Printing UK (Domino UK Ltd)"" as its UK division and provides consistent contact and business details. Financials and personnel are also directly extracted from official company data sources.","Domino Printing, Domino Printing UK, DOMINO AMJET LIMITED (previous), WHAT LIMITED (previous)","+44 (0)1954 782 056 (UK Sales & Service), +44 (0)1954 782 551 (General Enquiries - HQ)",,https://www.domino-printing.com/,"Industrial Printers, Coders, Markers, Digital Printing Solutions, Product Printing, Case Printing & Labelling, Pallet Labelling, Code Verification, Consumables, Serialisation, continuous inkjet, laser, thermal transfer overprinting, thermal inkjet, print and apply labellers, case coders, inks, fluids, ribbons, printheads, labels.",989 (as of 31 March 2025),£359.49M (as of 31 March 2025),"Joseph Graham Harrison (Director), Robert William Pulford (Director), Rachel Hurst (Director), Mr John-Paul Martin (Secretary)",,,"Domino Printing Sciences Plc (Parent/PSC), Lake Image Systems Limited, Postjet Systems Limited",Manufacturers worldwide (general statement),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fleet Street Communications (London,FLEET STREET COMMUNICATIONS (LONDON) LIMITED,07447790,"Fora Building 1st Floor, 251 Southwark Bridge Road, London, SE1 6FJ",success,10,9,,FLEET STREET COMMUNICATIONS (LONDON) LIMITED,07447790,23 November 2010,"Fora Building 1st Floor, 251 Southwark Bridge Road, London, SE1 6FJ, United Kingdom",SE1 6FJ,London,United Kingdom,"We are Fleet Street. A talented team of experts in everything related to food and drink. We’re comms specialists, former journalists and content creators. It’s a powerful mix that delivers the right results. Food & drink culture is what it's all about.","Public Relations, Communications, Content, Creative, Advertising, Brand Development",Public Relations and Communications Services,70210 - Public relations and communications activities,Mark John Stretton,"Mutual companies: Confrad International Limited, Fleet Street Consulting Limited, Agritechtalk International Cic, Buildout Investment Group Limited.",high,"The target company name, registered company name, and known address were explicitly matched across multiple official sources (Companies House, Lursoft, Endole, First Report, Harpers Directory). The company number is consistent across all these sources. Detailed information about directors, SIC codes, incorporation date, VAT number, and contact details were found and are consistent, confirming a strong match.",Fleet Street | B Corp™,0203 9856810,tess@fsc.uk.com,http://www.fsc.uk.com,,27 (as of 31 January 2025),Unreported (classified as under £1M for micro-company size),"Cathy Murray (Associate Director, Strategic Communications and People Director)",https://uk.linkedin.com/company/fleet-street-communications,B Corp™ Certified,,,,,,,,,,,,,,GB 104 6667 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Geodis RT Netherlands B.V.,RTH NETHERLANDS LTD,08114599,"Prospect House 2 Sinderland Road, Broadheath, Altrincham, WA14 5ET",success,7,7,,RTH NETHERLANDS LTD,08114599,21 June 2012,"Prospect House 2 Sinderland Road, Broadheath, Altrincham, Cheshire, WA14 5ET",WA14 5ET,Altrincham,United Kingdom,RTH NETHERLANDS LTD is an active private limited company incorporated on 21 June 2012. Its primary business activity is management consultancy. The company's accounts status is DORMANT.,Management consultancy activities other than financial management,Management consultancy,70229 - Management consultancy activities other than financial management,Robert Thomas HUGHES,"Company status: Active. Company type: Private limited Company. Accounts status: DORMANT. Next accounts made up to 30 June 2025, due by 31 March 2026. Last accounts made up to 30 June 2024. Next confirmation statement date: 10 April 2026, due by 24 April 2026. Last confirmation statement dated: 10 April 2025. Robert Thomas HUGHES (Director) was born in August 1967, is British, and resides in England. HLM SECRETARIES LTD (Secretary) is a UK Limited Company with registration number 03816018. Robert Thomas Hughes holds 25 to 50 percent ownership of shares. Joanne Hughes ceased as a Person with Significant Control on 10 April 2025. Compulsory strike-off action was discontinued on 11 September 2024.",high,"The target company ""RTH NETHERLANDS LTD"" with the specified registered company name, company number (08114599), and address (Prospect House 2 Sinderland Road, Broadheath, Altrincham, WA14 5ET) is explicitly and consistently mentioned across all provided web content sources (Companies House and CheckCompany). All extracted information directly pertains to this specific entity.",,,,,,,,"Robert Thomas HUGHES (Director, Person with Significant Control), HLM SECRETARIES LTD (Corporate Secretary)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bellabubu Bars Ltd.,BELLABUBU BARS LTD,12879569,"The Constitution, 42 Churton Street, London, SW1V 2LP",success,7,6,,BELLABUBU BARS LTD,12879569,15 September 2020,"The Constitution, 42 Churton Street, London, England, SW1V 2LP",SW1V 2LP,London,England,The company operates public houses and bars.,Operation of public houses and bars.,Public houses and bars,56302,"CHARLES, Nadine (Director)",,high,"All extracted information directly matches the target company ""Bellabubu Bars Ltd."" (Company number 12879569) as found on official UK Companies House records and other reputable company data providers. The address provided in the prompt matches the current registered office address.",,,,,unknown (implied drinks and food typically sold in pubs/bars),,"unknown (filed total exemption full accounts, implying small company)","CHARLES, Nadine (Director, Secretary)",,,,,,Active,Private Limited Company,,,,,,,,,,,,,30 September 2025,30 June 2026,30 September 2024,2 September 2026,16 September 2026,2 September 2025,Australian,England,October 1987,Kemp House 160 City Road London EC1V 2NX United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
15,Bridgewater Contract Projects Ltd.,BRIDGEWATER CONTRACTS (PROJECTS) LIMITED,02091828,"Bridgewater House, Parkway, Trading Estate, Barton Dock Road, Stretford, Manchester, M32 0TL",success,10,7,,BRIDGEWATER CONTRACTS (PROJECTS) LIMITED,02091828,21 January 1987,"Bridgewater House, Parkway, Trading Estate, Barton Dock Road, Stretford, Manchester, Lancashire, M32 0TL",M32 0TL,"Stretford, Manchester",United Kingdom,"BRIDGEWATER CONTRACTS (PROJECTS) LIMITED is an active private limited company specializing in construction activities. Its core business involves joinery installation, other building completion and finishing, and other specialised construction activities.","Joinery installation, Other building completion and finishing, Other specialised construction activities n.e.c.",Construction & Real Estate,"43320, 43390, 43999","Mr Jonathan Edwards, Mr Andrew Michael Snook, Mr Michael Blenkinsop, Mr John Culshaw","Company Status: Active, Company Type: Private limited company, Age: 38 years, Jurisdiction: England and Wales. Financials (as of 31 Dec 2024): Cash in Bank £372.2K, Total Assets £1.57M, Total Liabilities -£1.32M, Net Assets £259.02K. Profit after Tax £152744 (as of 31 Dec 2023). Persons with Significant Control (PSC): Andrew Michael Snook, Mr Michael Blenkinsop. Mutual Companies: Huyton College Development (Zone 2) Limited, Bridgewater Developments (Property Solutions) Limited, KDP Development & Investments Ltd.",high,"The company name ""BRIDGEWATER CONTRACTS (PROJECTS) LIMITED"" and company number ""02091828"" are explicitly matched in all provided sources, confirming it is the target company. The known address ""Bridgewater House, Parkway, Trading Estate, Barton Dock Road, Stretford, Manchester, M32 0TL"" is consistently listed as the registered office across multiple official sources.",Bridgewater Contract Projects Ltd.,01618644330,,http://bridgewater-group.co.uk/,,25 (as of 31 Dec 2024),Under £1M (as of 31 Dec 2024),"Mr Andrew Michael Snook (Company Secretary, Finance Director, Director, Person with Significant Control), Mr Michael Blenkinsop (Person with Significant Control, Director)",,"Waste Carrier, Broker, Dealer Registration (Number: CBDU121988, Type: Carrier, Broker, Dealer, Tier: Upper, Registration Date: July 1, 2022)",,,+44··········,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D & S Facility Management Ltd.,DELTA SECURITY & FACILITY MANAGEMENT LIMITED,16185229,"83 Prout Street, Manchester, M12 4PA",success,10,10,,DELTA SECURITY & FACILITY MANAGEMENT LIMITED,16185229,15 January 2025,"83 Prout Street, Manchester, Lancashire, United Kingdom, M12 4PA",M12 4PA,Manchester,United Kingdom,"An active private limited company specializing in private security activities and various cleaning services. It is a micro company with under 10 employees and under £1M turnover. It operates in Manchester, London, and across the UK, providing comprehensive security and facility management solutions.","Private security activities, Specialised cleaning services, Other cleaning services, Guarding/Dog Handler, Door Supervision, CCTV Monitoring, Concierge, Car Park Management, Event Security & Crowd Control, Retail Security/Loss Prevention, Building Management, Office, Commercial & Retail Clean, Ground Maintenance, Emergency Covid 19 Clean.","Security Services, Facilities Management, Cleaning Services","80100, 81222, 81299",Mr Mubashar Hussain,"Company status: Active. Company type: Private limited Company. First accounts made up to 31 January 2026, due by 15 October 2026. First confirmation statement date 14 January 2026, due by 28 January 2026.",medium,"Core company details (name, number, address, incorporation date, SIC codes, director) are directly from Companies House and Endole, which explicitly match the target company number. The trading name, contact details (phone, email, website), and detailed services are inferred from the 'deltafacilitiesmanagement.co.uk' website. This website's name, service offerings (security and cleaning/facility management), and stated operational areas (including Manchester) align strongly with the target company's registered name and SIC codes, making it a highly probable match for a trading name or associated entity.",Delta Facilities Management,0800 999 1262,info@deltafacilitiesmanagement.co.uk,https://deltafacilitiesmanagement.co.uk/,,Under 10,Under £1M,"Mr Mubashar Hussain (Person with Significant Control, Director, Born July 1981, Pakistani, UK Resident, owns 75%+ shares and voting rights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,HSO Enterprise Solutions Ltd.,HSO ENTERPRISE SOLUTIONS LIMITED,09910591,"3rd Floor Jackson House, Sibson Road, Sale, M33 7RR",success,10,9,,HSO ENTERPRISE SOLUTIONS LIMITED,09910591,10 December 2015,"3rd Floor Jackson House, Sibson Road, Sale, England, M33 7RR",M33 7RR,Sale,England,"HSO Enterprise Solutions Limited provides information technology services. The Company specializes in designing, implementing, and managing data, IT infrastructure, and cloud solutions. HSO Enterprise Solutions serves customers worldwide.","Information technology services, designing data solutions, implementing data solutions, managing data solutions, designing IT infrastructure solutions, implementing IT infrastructure solutions, managing IT infrastructure solutions, designing cloud solutions, implementing cloud solutions, managing cloud solutions.",Information technology consultancy,62020,"Marius Haverkamp, David Gordon Thomas Little",Previous company name: HSO ESL LIMITED (from 10 Dec 2015 to 04 Mar 2016); Company status: Active; Company type: Private limited Company; Age: 9 years; Cash in bank (31 Dec 2024): £3.69M; Current assets (31 Dec 2024): £16.81M; Current creditors (31 Dec 2024): £11.17M; Shareholders funds (31 Dec 2024): £5.64M; Net Assets (31 Dec 2024): £5.65M; Total Liabilities (31 Dec 2024): -£11.17M; Debt Ratio (31 Dec 2024): 66%; Person with Significant Control: Hso UK Holding Limited; Previous address: Enterprise Point (1st Floor) Altrincham Road Manchester Lancashire M22 9AF United Kingdom (changed on 7 Feb 2022).,high,"All extracted information consistently refers to the company with the exact registered name, company number (09910591), and registered address (3rd Floor Jackson House, Sibson Road, Sale, M33 7RR) provided in the target company details. Multiple official and reputable sources corroborate the data.",HSO Enterprise Solutions Ltd,02031287767,,https://www.hso.com/,,364 (as of 31 Dec 2024),£52.37M (as of 31 Dec 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Booth Dispensers Ltd.,BOOTH DISPENSERS LIMITED,03882967,"Booth Dispensers Ltd, Moor Park Avenue, Blackpool, FY2 0LZ",success,10,9,,BOOTH DISPENSERS LIMITED,03882967,25 November 1999,"101, Moor Park Avenue, Blackpool, Lancashire, FY2 0LZ",FY2 0LZ,Blackpool,United Kingdom,"Booth Dispensers Limited is an independent UK cooler and dispense manufacturer established in 1965, incorporated in 1999. They manufacture and supply equipment to the trade, specifically the soft drink industry, bars, and breweries across the UK and worldwide. The company focuses on providing top-notch service, offering an exhaustive inventory of essential bar products and accessories, backed by refrigeration and vending expertise. They deliver reliable, cost-effective solutions and are committed to continuous innovation, researching, developing, and bringing new lines to market annually. Their Blackpool-based manufacturing facility hand-assembles around 30,000 units a year, operating to optimal conditions for high-calibre product fabrication.","Manufacturing and supplying dispense equipment, Supplying to the soft drink industry, Supplying to the brewery industry, Delivering reliable and cost-effective solutions, Researching and developing new product lines, Fabrication of high-calibre products.","Food & Beverages, Manufacture of other special-purpose machinery n.e.c.",28990 - Manufacture of other special-purpose machinery not elsewhere classified,"Mr Mark Ian Richardson, Mr Daniel Joseph Hatton, Mr Mark Andrew Williams","Founded: 1965 (as a trading entity). Company Status: Active. Company Type: Private limited Company. Previous Company Name: BRABCO NO:108 (1999) LIMITED (from 25 Nov 1999 to 22 Feb 2000). Headquarters: Blackpool. Turnover is under £15M. Balance sheet is under £7.5M. Cash in Bank: £84K (31 Dec 2023). Total Assets: £6.31M (31 Dec 2023). Total Liabilities: -£4.49M (31 Dec 2023). Net Assets: £1.82M (31 Dec 2023). Debt Ratio (%): 71% (31 Dec 2023). Persons with Significant Control (PSC): Booth Group Limited (owns 75% or more of shares and voting rights), Mr Daniel Joseph Hatton (has significant influence or control), Mr Mark Andrew Williams (has significant influence or control). Mutual Companies: Brandels Limited, Booth Group Limited, Crown-Range Limited.",high,"All extracted information consistently refers to the target company ""BOOTH DISPENSERS LIMITED"" (Company Number 03882967) and its known address. Multiple sources corroborate the key details, ensuring accuracy and relevance.",Booth Dispensers Ltd.,01253501800,,https://www.booth-dispensers.co.uk/,"Cooler and Dispense equipment, Essential bar products and accessories, Refrigeration equipment, Vending equipment, Blu Cooler, Talia-A2120, Vesi-A2120.",116 (as of 31 Dec 2023),£12.26M (for period ended 31 Dec 2023),"Mark Williams (Commercial Director), Howard Reed (Human Resources Senior Manager), Ian Muncaster (Engineering Manager), Allan Thomson (Section Leader)",https://uk.linkedin.com/company/booth-dispensers,,,"Soft drink industry, Bars, Breweries, Venues, Service partners, Industry leaders.",,,,,,,,,,,,,,"https://www.facebook.com/InnCellar/ (Mentioned on this page, not an official company page)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Checkout Smart Ltd.,CHECKOUT SMART LTD,08209876,"The Brew, Eagle House, 163 City Road, London, EC1V 1NR",success,10,10,,CHECKOUT SMART LTD,08209876,11 September 2012,"The Brew, Eagle House, 163 City Road, London, England, EC1V 1NR",EC1V 1NR,London,England,CheckoutSmart rewards users with savings on everyday supermarket shopping by providing cashback when they buy in-store or online. Users redeem rewards by submitting an image of their receipt or home shopping delivery note as proof of purchase. The company provides exclusive offers on grocery brands and processes cashback payments.,"Cashback rewards platform, shopper marketing blog, brand partnership services.",Other retail sale in non-specialised stores,47190 - Other retail sale in non-specialised stores,"Mr Paul Louis Lees (Director), Mr Tim Gibson (Director), Mr Mark Rubin (Director), Mr Christopher Howarth (Director)",,high,"The company name ""Checkout Smart Ltd."", company number ""08209876"", and registered address ""The Brew, Eagle House, 163 City Road, London, EC1V 1NR"" are explicitly and consistently mentioned across multiple official company registration sources (Companies House, Endole, CompanyCheck) and the company's own website, confirming a direct and accurate match.",CheckoutSmart,0345 6116111,help@checkoutsmart.com,https://www.checkoutsmart.com/,Cashback offers on various grocery brands.,15,Unreported (under £1M for 31 Jul 2024),"Mr Christopher Howarth (Person with Significant Control), Maple Syrup Trustee Limited (Person with Significant Control)",,,"unknown (mentions ""other partners"" in terms, but no names)","Tesco, Sainsbury's, Morrisons, ASDA, Waitrose, Co-op, Ocado, Boots, Iceland (retailers where users can earn cashback)",,"Active, Private limited Company.",,,,,,,,"Micro (Turnover under £1M, Balance sheet under £500,000).",,,,,"""fans 19,180"", ""followers 5,432"" (implied social media presence)",,,,,,,,,,,13 years.,6 Snow Hill London EC1A 2AY England (changed on 24 Jul 2025).,"£754,791.00 (as of 31 Jul 2024).","-£404,710.00 (as of 31 Jul 2024).",£1.92M (as of 31 Jul 2024).,-£1.75M (as of 31 Jul 2024).,92% (as of 31 Jul 2024).,,,,,,,,,,,,,,,,
20,CPL Learning Ltd.,CPL LEARNING LIMITED,06976340,"C/O Azets, 2nd Floor, Regis House, 45 King William Street, London, EC4R 9AN",success,10,8,,CPL LEARNING LIMITED,06976340,30 July 2009,"C/O Azets, 2nd Floor, Regis House, 45 King William Street, London, EC4R 9AN",EC4R 9AN,London,England,"The legal entity CPL LEARNING LIMITED (Company No. 06976340) is a non-trading company that entered voluntary liquidation on 16 January 2025, with a special resolution to wind up on 8 January 2025. The brand ""CPL Learning"", now part of The Access Group, describes itself as unlocking potential in hospitality and retail teams for nearly 30 years, providing dynamic learning and development platforms and an extensive elearning library.","For the legal entity, none (non-trading). For the brand ""CPL Learning"" (an Access company), services include: dynamic learning and development platform, Premises Application Service, Premises Licence Variation Service.","For the legal entity, non-trading. For the brand ""CPL Learning"" (an Access company), Hospitality, Retail, Leisure, Learning and Development, eLearning.",74990 - Non-trading company,"Adam John Witherow Brown (Active Director). Resigned directors include Christopher Andrew Armstrong Bayne, Michael James Audis, Robert Hugh Binns, David Dasher, Elizabeth Delgado, Amanda Jayne Giles.",,high,"The extracted data directly corresponds to the ""CPL LEARNING LIMITED"" (Company No. 06976340) as identified by the provided company name, number, and address. The information from Companies House and Endole is consistent for this specific legal entity, including its current liquidation status and registered office. The website `cpllearning.com` is identified as representing the ""CPL Learning"" brand, which is now ""an Access company"", indicating a likely acquisition or transfer of operations from the liquidated entity. The distinction between the legal entity's status and the brand's activities has been clearly noted.",CPL Learning,,,https://www.cpllearning.com/,"For the legal entity, none (non-trading). For the brand ""CPL Learning"" (an Access company), products include: Online courses and training (Alcohol licensing, Compliance, Hotel, Retail, Personal development, Team development, Essentials of pub management, eLearning packages), In person courses (Emergency First Aid at Work, Fire Marshal Award, First Aid at Work, First Aid at Work Refresher, Food Safety Level 3).",Under 10,Under £1M,,,"For the brand ""CPL Learning"" (an Access company), alcohol licensing certifications, compliance training.","The Access Group (CPL Learning is ""an Access company""). Mutual companies listed by Endole for the legal entity: Prospectsoft Limited, Pay360 Limited, Access Paysuite Ltd, Has Technology Limited, Dutysheet Limited, Caboodle Technology Limited, Oosha Limited, Bookboon.Com Limited.",,,"Voluntary Liquidation (since 16 January 2025, with a special resolution to wind up on 8 January 2025).",Private limited company.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPL ONLINE LIMITED (from 30 July 2009 to 8 January 2020).,Armstrong Building Oakwood Drive Loughborough University Science & Enterprise Park Loughborough LE11 3QF England (changed 16 January 2025).,CPL Technology Group Limited.,Micro entity.,,,,,,,,,,,,
21,Exporta Global Ltd.,EXPORTA GLOBAL LIMITED,SC687543,"Anchorpoint House, Clashburn Close, Kinross, KY13 8GD",success,10,8,,EXPORTA GLOBAL LIMITED,SC687543,29 January 2021,"Anchorpoint House, Clashburn Close, Kinross, Scotland, KY13 8GD",KY13 8GD,Kinross,Scotland,"Exporta Global Limited is an active private limited company incorporated in Scotland on 29 January 2021. It operates in non-specialised wholesale trade, specifically identified as a pallet supplier, and is involved in the import of various plastics and plastic products.","Non-specialised wholesale trade, Pallet supply.","Wholesale Trade, Plastics, Pallet Supply.",46900 - Non-specialised wholesale trade,"Dale Paterson (Director, born November 1981), Daniel Paterson (Director, born March 1983), Michael Paterson (Director, born March 1983)","Company status: Active. Company type: Private limited Company. Country of Origin: United Kingdom. Registered office address has been the same since incorporation. A trading/business address of 2 Clashburn Close, Kinross KY13 8GD is also mentioned. Person with Significant Control (PSC): APGK Limited.",high,"The company name ""EXPORTA GLOBAL LIMITED"" and company number ""SC687543"" are explicitly and consistently mentioned across all relevant sources (Companies House, Endole, Bringo, UK Trade Info). The registered address also matches the target company's known address. All extracted information directly pertains to this specific entity.",Exporta Global Ltd.,+448002944394,,https://www.exportaglobal.co.uk/,"Plastics and plastic products, including plates, sheets, film, foil and strip of non-cellular plastics, polymers of ethylene, polythene, acrylic polymers, and reinforced plastics.",26,,,,,,,,,,,,,,,,,,GB374630391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
